ratings;displayName;brand.displayName
{'average': 4.6, 'total': 0};Kebab Container by Baba Rafi, SPBU Medari;Container Kebab by Baba Rafi General
{'average': 4.7, 'total': 0};McDonald's, Jombor Sleman;McDonald's
{'average': 4.5, 'total': 0};Ayam Bakar Taliwang dan Nasi Kebuli Bu Atie, Mlati;Ayam Bakar Taliwang dan Nasi Kebuli Bu Atie
{'average': 4.7, 'total': 0};Takoyaki Crispy Mr. Kev, Mlati;Takoyaki Crispy Mr. Kev, Ngaglik
{'average': 4.9, 'total': 0};Warung Makan Keyla;Warung Makan Keyla, SRI GUSTINI
{'average': 4.7, 'total': 0};SATE AYAM ASLI MADURA CAK AMIN;SATE AYAM ASLI MADURA CAK AMIN, NAMIN
{'average': 4.6, 'total': 0};Lotek, Pecel, Dan Ayam Shabrina, Mlati;Warung Shabrina, Sinduadi
{'average': 4.8, 'total': 0};Pengilon, Karang Mloko;Pengilon
{'average': 4.8, 'total': 0};Seblak Spesial Al-Fazza, Gamping;Penyetan Mmd
{'average': 4.5, 'total': 0};JCO, Jogja City Mall;JCO General
{'average': 4.7, 'total': 0};Solaria, Jogja City Mall;Solaria
{'average': 4.7, 'total': 0};Mie Gacoan, Jombor Yogyakarta;Mie Gacoan
{'average': 4.8, 'total': 0};Mixue, Jogja City Mall;Mixue Maranatha Surya Sumantri
{'average': 4.7, 'total': 0};Pizza Hut, Jogja City Mall;Pizza Hut
{'average': 4.7, 'total': 0};KFC, Jl Magelang Yogyakarta;KFC
{'average': 4.7, 'total': 0};Marugame Udon & Tempura, Jogja City Mall;Marugame Udon & Tempura
{'average': 4.7, 'total': 0};Cheon, Jogja City Mall;Cheon Korean Mozarella Corndog
{'average': 4.7, 'total': 0};Nasi Kuning Dan Mendoan Mak Alfi, Patran;Nasi Kuning Dan Mendoan  Mak Alfi
{'average': 4.7, 'total': 0};YOSHINOYA BEEF BOWL, Jogja City Mall;YOSHINOYA
{'average': 4.6, 'total': 0};Warung Makan Kokita Chinese Food & Seafood Muslim, Palagan;Warung Makan KOKITA
{'average': 4.7, 'total': 0};Richeese Factory, Jogja City Mall;Richeese Factory
{'average': 4.8, 'total': 0};Bebek Goreng H. Slamet, Ring Road Utara;Bebek Goreng H.Slamet Jogja
{'average': 4.7, 'total': 0};Sate Ayam Madura Cak Faizal;Sate Ayam Madura Cak Faizal, H. MAHMUDI
{'average': 4.7, 'total': 0};Bubur Ayam Jakarta Panghegar, Palagan;Bubur Ayam Jakarta Panghegar
{'average': 4.7, 'total': 0};Pempek Ny. Kamto, Palagan;Pempek Ny. Kamto
{'average': 4.8, 'total': 0};Kedai Sinang;Kedai Sinang, Andreas Nanang Prasetya
{'average': 4.7, 'total': 0};Tahu Go!, Jalan Palagan;Tahu Go!11
{'average': 4.6, 'total': 0};Bakso Rusuk Tali Roso;Bakso Rusuk Tali Roso
{'average': 4.8, 'total': 0};Waroeng Geprek Rahayu, Sinduadi;Waroeng Geprek Rahayu
{'average': 4.7, 'total': 0};Nasi Bebek Dan Ayam Madura Geulis 3, Palagan;Nasi Bebek Dan Ayam Madura Geulis
{'average': 4.8, 'total': 0};Pecel Yu Sri, Palagan Tentara Pelajar;Nasi Pecel Yu Sri
{'average': 4.7, 'total': 0};Warung Pak Lanjar;Warung Pak Lanjar
{'average': 4.7, 'total': 0};Rumah Makan Padang Bungo Rayo;Rumah makan padang BUNGO RAYO
{'average': 4.7, 'total': 0};Delicia Bakery & Roti Sisir Jogja, Jl Magelang;Delicia Bakery & Roti Sisir Jogja, Jl Magelang, CV Karya Kani Selaras
{'average': 4.8, 'total': 0};Seafood 99, Palagan Tentara Pelajar;Rumah Makan & Seafood 99 Migrate
{'average': 4.7, 'total': 0};Rocket Chicken, Palagan;Rocket Chicken General
{'average': 4.8, 'total': 0};Esteh Indonesia, Palagan;Es Teh Indonesia General
{'average': 4.7, 'total': 0};Salad Nyoo (Pelopor #1 Salad Buah Indonesia), Sariharjo;Salad Nyoo
{'average': 4.7, 'total': 0};Esque, Palagan;ESQUE
{'average': 4.7, 'total': 0};Mixue Palagan, Sariharjo, Ngaglik, Sleman;Mixue Palagan, Sariharjo, Ngaglik, Sleman, CV YI ER SAN
{'average': 4.8, 'total': 0};Kopi Janji Jiwa & Jiwa Toast, Palagan Yogya;Kopi Janji Jiwa
{'average': 4.7, 'total': 0};Warung Padang Upik, Magelang KM 5,6;Warung Padang Upik, Magelang KM 5,6
{'average': 4.7, 'total': 0};Rumah Kelapa Muda, Nakulo;Kupat Gule Sugondo
{'average': 4.7, 'total': 0};Gudeg Yu Djum, Ngaglik;Gudeg Yu Djum, Mbarek
{'average': 4.8, 'total': 0};Haus!, Yogja Palagan;HAUS! GENERAL
{'average': 4.3, 'total': 0};RM PADANG PONDOK AMBO, Jl. Kabupaten Km 2;Rumah Makan Padang Sinar Badran Bumijo
{'average': 4.6, 'total': 0};Lotek & Gado-Gado Bu Nur, Palagan;Lotek & Gado-Gado Bu Nur
{'average': 4.9, 'total': 0};Kopi Trip, Trihanggo;Kopi Trip, Trihanggo, Daniel Herman Yoseph Lebao
{'average': 4.7, 'total': 0};Ayam Rempah Laos Nonny, Ngaglik;Ayam Rempah Laos Nonny
{'average': 4.8, 'total': 0};Ayam Geprek Hara Chicken, Palagan;Hara Chicken - Muhammad Arofik
{'average': 4.7, 'total': 0};Nasi Uduk Palagan, Palagan;Nasi Uduk Palagan
{'average': 4.5, 'total': 0};Nasi Kulit Syuurga, Watugede;Nasi Kulit Syuurga
{'average': 4.7, 'total': 0};Sego Garwo (Nasi Campur Jogja Halal), Palagan;Sego Garwo (Nasi Campur Jogja Halal)
{'average': 4.6, 'total': 0};Gudeg Yu Narni, Palagan;Gudeg Yu Narni - Diah Kusuma Wardani
{'average': 4.8, 'total': 0};Warung Nasi Campur Bali Sakanti, Sleman;Warung Nasi Campur Bali Sakanti
{'average': 4.8, 'total': 0};Olive Fried Chicken, Rejodani;Olive Fried Chicken
{'average': 4.7, 'total': 0};Mie Sapi Perjuangan Sariharjo, Ngaglik;Hara Chicken - Muhammad Arofik
{'average': 4.7, 'total': 0};RM Padang Bungo Palo (depan SD), Lempongsari;Rumah Makan Padang Bungo Palo, Lempongsari
{'average': 4.6, 'total': 0};Ketoprak Dan Bubur Ayam Kabita, Lempongsari;Kabita 2, Depok
{'average': 4.8, 'total': 0};Couvee, Palagan;Couvee
{'average': 4.7, 'total': 0};Rumah Makan 88 (Babi Pan Pan);Rumah Makan 88 Babi Pan Pan
{'average': 4.7, 'total': 0};Rocket Chicken, Jambon;Rocket Chicken General
{'average': 4.8, 'total': 0};KopiGo Coffee (#1 Healthy Kopi Buah), Sariharjo;KopiGO Coffee
{'average': 4.7, 'total': 0};Hola Jus (#1 Healthy Juice & Smoothies), Monjali;Hola Jus
{'average': 4.6, 'total': 0};Salad MOI (#1 Healthy Salad Buah), Monjali;Salad Moi
{'average': 4.2, 'total': 0};Ketoprak dan Lotek Bang Rojali, Mlati;Ketoprak dan Lotek Bang Rojali
{'average': 4.7, 'total': 0};Ayam Geprek Hara Chicken, Lempongsari;Hara Chicken - Muhammad Arofik
{'average': 4.5, 'total': 0};Rm Padang Putra Piliang, Jl Pundung;Rm Padang Putra Piliang
{'average': 4.7, 'total': 0};Ayam Geprek Hara Chicken, Monjali;Hara Chicken - Muhammad Arofik
{'average': 4.6, 'total': 0};La Petit Cake & Cookies, Wijayakusuma;La Petitt
{'average': 4.5, 'total': 0};Sop Ayam Pak Min Klaten, Jalan Magelang;Sop Ayam Pak Min Klaten
{'average': 4.6, 'total': 0};Jatinangor House Yogja, Monjali;Jatinangor House
{'average': 4.5, 'total': 0};Siomay Hokkie Asli Bandung, Monjali;Siomay Hokkie.asli Bandung, Tatang
{'average': 4.8, 'total': 0};Olive Fried Chicken Take Away, Monjali;Olive Fried Chicken
{'average': 4.7, 'total': 0};Ombein, Monjali;Ombein Soropadan
{'average': 4.8, 'total': 0};Find Me, Monjali;Find Me
{'average': 4.7, 'total': 0};Nasi Liwet Solo Bu Wongso Lemu, Monjali;Nasi Liwet Solo Bu Wongso Lemu
{'average': 4.8, 'total': 0};Muslim Chinese Food (MCF), Monjali;Nasi Goreng Dan Ayam Rica-Rica Muslim Chineese Food
{'average': 4.5, 'total': 0};Kebab Bosman, Monjali;Kebab Bosman
{'average': 4.8, 'total': 0};Kelapa Muda 99, Pogung Lor;Kelapa Muda 99 Pandega Marta
{'average': 4.7, 'total': 0};Penyetan Ganti Nama 1;Penyetan Ganti Nama 2
{'average': 4.6, 'total': 0};Rocket Chicken, Monjali;Rocket Chicken General
{'average': 4.6, 'total': 0};Mister Burger, Oasis;Mister Burger - PT MISTER BURGER KAWAN SEJAHTERA INDONESIA
{'average': 4.8, 'total': 0};Dandelion Catering, Selokan Mataram;Dandelion, jalan selokan Mataram No,207, Novia Ria Rahmawati
{'average': 4.8, 'total': 0};SBC Spesial Cah Kangkung, Pandega Marta;SBC Spesial Cah Kangkung
{'average': 4.1, 'total': 0};Trufflelogy, Sunan Ampel;Trufflelogy, Merapi Regency
{'average': 4.7, 'total': 0};Mixue Pogung Pandega, Sinduadi;Mixue Pogung Pandega, Sinduadi, Alex Hartono Gunawan
{'average': 4.7, 'total': 0};Bintang Penyetan dan Rica, Pogung;Bintang Penyetan dan Rica
{'average': 4.7, 'total': 0};Space Coffee Roastery Headquarter, Mlati;Space Coffee
{'average': 4.5, 'total': 0};Nasi Kulit Syuurga, Jambon;Nasi Kulit Syuurga
{'average': 4.7, 'total': 0};Sate Taichan Senayan, Magelang;Sate Taichan Senayan Yogyakarta
{'average': 4.7, 'total': 0};Gudeg Jamal, Jl. Magelang;Gudeg Legenda Mbok Joyo
{'average': 4.7, 'total': 0};Lotek Pandega Putri, Ngaglik;Lotek Pandega Putri
{'average': 4.8, 'total': 0};Journey Jus 37, Sinduadi;Jussie Jus, Pogung Lor
{'average': 4.8, 'total': 0};Olive Fried Chicken, Monjali 1;Olive Fried Chicken
{'average': 4.6, 'total': 0};Nasi Uduk, Nasi Kuning Ayam Geprek Ibu Ammar;WARUNG IBU AMMAR, Didik Nurhadi
{'average': 4.6, 'total': 0};Ayam Goreng Hj Toyib, Jakal Mlati Sleman;Ayam Goreng Hj Toyib
{'average': 4.6, 'total': 0};Zuppa Soup & Es Teler Om Kece, Jati Baru;Zuppa Soup & Es Teler Om Kece, Jati Baru
{'average': 4.7, 'total': 0};Penyetan Mas Kobis, Pandega Marta;Penyetan Mas Kobis HM
{'average': 4.7, 'total': 0};PREKSU (Ayam Geprek & Susu), Pandega;Preksu (Ayam Geprek dan Susu)
{'average': 4.7, 'total': 0};MANDJA seafood;MANDJA seafood, Imam Widayat
{'average': 4.6, 'total': 0};HellO Seblak, Pandega;HellO Seblak, Alkid, Yohanes Ferry Ardianto
{'average': 4.5, 'total': 0};Pecel Lele dan Ayam Kremes Bu Darmi, Mlati;Pecel Lele Dan Ayam Kremes Bu Darmi, Mlati, Sudarmi
{'average': 4.7, 'total': 0};Morgans Kebab, Pandega;MORGANS KEBAB, SETURAN, MUH. DAROJATUN KUNCORO SAKTI
{'average': 4.8, 'total': 0};Sebelas Coffee, Monjali;Sebelas Coffee Crafter
{'average': 4.7, 'total': 0};Mixue, Jambon;Mixue Maranatha Surya Sumantri
{'average': 4.8, 'total': 0};Waroeng Spesial Sambal SS, Pandega Martha;Waroeng Spesial Sambal (SS)
{'average': 4.5, 'total': 0};Ayam Goreng Hj Toyib, Pandegamarta;Ayam Goreng Hj Toyib
{'average': 4.7, 'total': 0};Ayam Nusantara;Ayam Nusantara, Agus Sujarwono
{'average': 4.7, 'total': 0};Jatinangor House, Sinduharjo;Jatinangor House
{'average': 4.6, 'total': 0};Pecel Lele dan Nasi Uduk Cak Doel, Banteng Raya;Pecel Lele Dan Nasi Uduk Cak Doel, Jl. Banteng Raya, Ridlwan
{'average': 4.8, 'total': 0};Bakmi dan Seafood 99, Pandega Marta;Bakmi dan Seafood 99 Yogyakarta
{'average': 4.8, 'total': 0};Krisbar Susi Krispi Bakar dan Susu Sirup, Pandega Martha;Krisbar Susi Krispi Bakar dan Susu Sirup
{'average': 4.1, 'total': 0};Korean Express, Godean;Korean Express
{'average': 4.5, 'total': 0};Geprek Mr.NICO;Geprek Mr.NICO, EKO PURWANTO
{'average': 4.4, 'total': 0};Cilaja Fried Chicken;Cilaja Fried Chicken, Rohmat
{'average': 4.5, 'total': 0};Lotek & Gado - Gado Bu Nur, Jambon;Lotek & Gado-Gado Bu Nur
{'average': 4.8, 'total': 0};Masakan Padang Duta Minang, Jl. Magelang;Duta Minang YK
{'average': 4.3, 'total': 0};Kulit Enak, Mlati;Kulit Enak, Selokan Mataram, Rohmat
{'average': 4.7, 'total': 0};Ayam Geprek Hara Chicken, Jalan Damai;Hara Chicken - Muhammad Arofik
{'average': 4.6, 'total': 0};Nasi Goreng Seafood 23, Pandega Marta;Nasi Goreng Seofood 23, Dian Deriani
{'average': 4.7, 'total': 0};Sate Taichan Kuy;Sate Taichan Kuy, Maria Wulan Intandari
{'average': 4.7, 'total': 0};Lotek Pandega Putri, Depok;Lotek Pandega Putri
{'average': 4.7, 'total': 0};Soto & Sop Pak Nanto 2;Soto & Sop Pak Nanto
{'average': 4.7, 'total': 0};Jatinangor House, Pogung Baru;Jatinangor House
{'average': 4.7, 'total': 0};Penyetan Kang Joni, Pogung Kidul;Penyetan Kang Joni, Pogung Kidul
{'average': 4.7, 'total': 0};"Ayam Bakar ""Mbak Tini"" Special CRISBAR, Pogung Dalangan";Ayam Bakar Mbak Tini
{'average': 4.6, 'total': 0};Martabak Pecenongan 78, Jl. Magelang km 3,5;Martabak Pecenongan 78
{'average': 4.4, 'total': 0};Warmindo Rejeki Sagara;Warmindo Rejeki Sagara, Yosi Rosita Dewi
{'average': 4.7, 'total': 0};Jank Jank Wings, Terban;Jank Jank Wings
{'average': 4.8, 'total': 0};Putra Kandung, Pogung;Putra Kandung
{'average': 4.7, 'total': 0};Ayam Kremes Tulang Lunak, Pogung;Ayam Kremes Tulang Lunak - Sukarno
{'average': 4.3, 'total': 0};Seblak Sunda Teh Linda, Kost Kolombo;Seblak Sunda Teh Linda dan Juice, Wakijem
{'average': 4.7, 'total': 0};Olive Fried Chicken, Kabupaten;Olive Fried Chicken
{'average': 4.6, 'total': 0};Nasi Goreng Surabaya (Warmindo Makcik), Pogung Kidul;Warmindo MakCik, Umayah
{'average': 4.7, 'total': 0};Mixue Monjali, Sleman;Mixue Monjali, Sleman, Yonatan Abisai Yabin
{'average': 4.8, 'total': 0};Ayam Goreng Rempah, Ceker Balado Nonalisa Chicken, Godean;Ayam Goreng Rempah, Ceker Balado Nonalisa Chicken, Godean, Dr. Dewi Sri Budiarti Setyaningsih
{'average': 4.7, 'total': 0};Ayam Geprek Eldaffa, pogung;Penyetan Dan Ayam Geprek Eldaffa, pogung, Dewi Pramitha
{'average': 4.7, 'total': 0};Tahu Walik Ayu Pandega, Dipingir Ring Road;Tahu Walik Qita Sewon, Eko Triyono
{'average': 4.7, 'total': 0};Ayam Geprek Sambel Ijo, Ngaglik;Ayam Geprek Sambel Ijo, Ngaglik, Khairul Anwar
{'average': 4.7, 'total': 0};Sate Ayam Ponorogo Saporo, Pandega Marta;Sate Saporo
{'average': 4.7, 'total': 0};Rocket Chicken, Bantulan Godean;Rocket Chicken General
{'average': 4.7, 'total': 0};Tahu Walik Qita Pandega, Pingir Ringroad;Tahu Walik Qita Jl Paris, Eko Triyono
{'average': 4.7, 'total': 0};Padang & Geprek Munggur, Godean KM 7.5;Padang Munggur
{'average': 4.7, 'total': 0};Mixue Sidoarum, Godean, Sidoarum;Mixue Sidoarum, Godean, Sidoarum, Fransiscus Xaverius Hengky Wijaya
{'average': 4.7, 'total': 0};Chicken Crush, Sidoarum;Chicken Crush Yogyakarta
